"","location","recv","TagCode","day","count","beacon","recv_start"
"205","BeniciaRT_02 ",18008,"FAA2",2018-07-14,1434,"FAA2",2018-04-24 17:08:04
"206","BeniciaRT_02 ",18008,"FAA2",2018-07-15,1432,"FAA2",2018-04-24 17:08:04
"207","BeniciaRT_02 ",18008,"FAA2",2018-07-16,1416,"FAA2",2018-04-24 17:08:04
"208","BeniciaRT_02 ",18008,"FAA2",2018-07-17,1362,"FAA2",2018-04-24 17:08:04
"209","BeniciaRT_02 ",18008,"FAA2",2018-07-18,1368,"FAA2",2018-04-24 17:08:04
"210","BeniciaRT_02 ",18008,"FAA2",2018-07-19,1396,"FAA2",2018-04-24 17:08:04
"211","BeniciaRT_02 ",18008,"FAA2",2018-07-20,1379,"FAA2",2018-04-24 17:08:04
"212","BeniciaRT_02 ",18008,"FAA2",2018-07-21,1370,"FAA2",2018-04-24 17:08:04
"213","BeniciaRT_02 ",18008,"FAA2",2018-07-22,1372,"FAA2",2018-04-24 17:08:04
"214","BeniciaRT_02 ",18008,"FAA2",2018-07-23,1381,"FAA2",2018-04-24 17:08:04
"215","BeniciaRT_02 ",18008,"FAA2",2018-07-24,1375,"FAA2",2018-04-24 17:08:04
"216","BeniciaRT_02 ",18008,"FAA2",2018-07-25,1388,"FAA2",2018-04-24 17:08:04
"217","BeniciaRT_02 ",18008,"FAA2",2018-07-26,1378,"FAA2",2018-04-24 17:08:04
"218","BeniciaRT_02 ",18008,"FAA2",2018-07-27,1376,"FAA2",2018-04-24 17:08:04
"219","BeniciaRT_02 ",18008,"FAA2",2018-07-28,1359,"FAA2",2018-04-24 17:08:04
"220","BeniciaRT_02 ",18008,"FAA2",2018-07-29,1368,"FAA2",2018-04-24 17:08:04
"221","BeniciaRT_02 ",18008,"FAA2",2018-07-30,1373,"FAA2",2018-04-24 17:08:04
"222","BeniciaRT_02 ",18008,"FAA2",2018-07-31,1384,"FAA2",2018-04-24 17:08:04
"223","BeniciaRT_02 ",18008,"FAA2",2018-08-01,1385,"FAA2",2018-04-24 17:08:04
"224","BeniciaRT_02 ",18008,"FAA2",2018-08-02,1378,"FAA2",2018-04-24 17:08:04
"225","BeniciaRT_02 ",18008,"FAA2",2018-08-03,1377,"FAA2",2018-04-24 17:08:04
"226","BeniciaRT_02 ",18008,"FAA2",2018-08-04,1371,"FAA2",2018-04-24 17:08:04
"227","BeniciaRT_02 ",18008,"FAA2",2018-08-05,1388,"FAA2",2018-04-24 17:08:04
"228","BeniciaRT_02 ",18008,"FAA2",2018-08-06,1375,"FAA2",2018-04-24 17:08:04
"229","BeniciaRT_02 ",18008,"FAA2",2018-08-07,1380,"FAA2",2018-04-24 17:08:04
"230","BeniciaRT_02 ",18008,"FAA2",2018-08-08,1380,"FAA2",2018-04-24 17:08:04
"231","BeniciaRT_02 ",18008,"FAA2",2018-08-09,1372,"FAA2",2018-04-24 17:08:04
"232","BeniciaRT_02 ",18008,"FAA2",2018-08-10,1386,"FAA2",2018-04-24 17:08:04
"233","BeniciaRT_02 ",18008,"FAA2",2018-08-11,1400,"FAA2",2018-04-24 17:08:04
"234","BeniciaRT_02 ",18008,"FAA2",2018-08-12,1371,"FAA2",2018-04-24 17:08:04
"235","BeniciaRT_02 ",18008,"FAA2",2018-08-13,1392,"FAA2",2018-04-24 17:08:04
"236","BeniciaRT_02 ",18008,"FAA2",2018-08-14,1376,"FAA2",2018-04-24 17:08:04
"237","BeniciaRT_02 ",18008,"FAA2",2018-08-15,1368,"FAA2",2018-04-24 17:08:04
"238","BeniciaRT_02 ",18008,"FAA2",2018-08-16,1377,"FAA2",2018-04-24 17:08:04
"239","BeniciaRT_02 ",18008,"FAA2",2018-08-17,1370,"FAA2",2018-04-24 17:08:04
"240","BeniciaRT_02 ",18008,"FAA2",2018-08-18,1373,"FAA2",2018-04-24 17:08:04
"241","BeniciaRT_02 ",18008,"FAA2",2018-08-19,1370,"FAA2",2018-04-24 17:08:04
"242","BeniciaRT_02 ",18008,"FAA2",2018-08-20,1373,"FAA2",2018-04-24 17:08:04
"243","BeniciaRT_02 ",18008,"FAA2",2018-08-21,1388,"FAA2",2018-04-24 17:08:04
"244","BeniciaRT_02 ",18008,"FAA2",2018-08-22,1382,"FAA2",2018-04-24 17:08:04
"245","BeniciaRT_02 ",18008,"FAA2",2018-08-23,1368,"FAA2",2018-04-24 17:08:04
"246","BeniciaRT_02 ",18008,"FAA2",2018-08-24,1367,"FAA2",2018-04-24 17:08:04
"247","BeniciaRT_02 ",18008,"FAA2",2018-08-25,1373,"FAA2",2018-04-24 17:08:04
"248","BeniciaRT_02 ",18008,"FAA2",2018-08-26,1380,"FAA2",2018-04-24 17:08:04
"249","BeniciaRT_02 ",18008,"FAA2",2018-08-27,1374,"FAA2",2018-04-24 17:08:04
"250","BeniciaRT_02 ",18008,"FAA2",2018-08-28,1369,"FAA2",2018-04-24 17:08:04
"251","BeniciaRT_02 ",18008,"FAA2",2018-08-29,1360,"FAA2",2018-04-24 17:08:04
"252","BeniciaRT_02 ",18008,"FAA2",2018-08-30,1381,"FAA2",2018-04-24 17:08:04
"253","BeniciaRT_02 ",18008,"FAA2",2018-08-31,1405,"FAA2",2018-04-24 17:08:04
"254","BeniciaRT_02 ",18008,"FAA2",2018-09-01,119,"FAA2",2018-04-24 17:08:04
"255","BeniciaRT_03",17129,"F95A",2018-04-25,437,"F95A",2018-04-24 19:09:49
"256","BeniciaRT_03",17129,"F95A",2018-04-26,1384,"F95A",2018-04-24 19:09:49
"257","BeniciaRT_03",17129,"F95A",2018-04-27,1385,"F95A",2018-04-24 19:09:49
"258","BeniciaRT_03",17129,"F95A",2018-04-28,1385,"F95A",2018-04-24 19:09:49
"259","BeniciaRT_03",17129,"F95A",2018-04-29,1385,"F95A",2018-04-24 19:09:49
"260","BeniciaRT_03",17129,"F95A",2018-04-30,1382,"F95A",2018-04-24 19:09:49
"261","BeniciaRT_03",17129,"F95A",2018-05-01,1382,"F95A",2018-04-24 19:09:49
"262","BeniciaRT_03",17129,"F95A",2018-05-02,1383,"F95A",2018-04-24 19:09:49
"263","BeniciaRT_03",17129,"F95A",2018-05-03,1291,"F95A",2018-04-24 19:09:49
"264","BeniciaRT_03",17129,"F95A",2018-05-04,1360,"F95A",2018-04-24 19:09:49
"265","BeniciaRT_03",17129,"F95A",2018-05-05,1331,"F95A",2018-04-24 19:09:49
"266","BeniciaRT_03",17129,"F95A",2018-05-06,1316,"F95A",2018-04-24 19:09:49
"267","BeniciaRT_03",17129,"F95A",2018-05-07,1331,"F95A",2018-04-24 19:09:49
